Week Ending,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,CMS Data As of date,Race and Ethnicity
02/24/2024 12:00:00 AM,20.42,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
02/03/2024 12:00:00 AM,10.17,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
02/10/2024 12:00:00 AM,10.39,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
02/17/2024 12:00:00 AM,10.57,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
02/24/2024 12:00:00 AM,10.74,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
02/03/2024 12:00:00 AM,18.63,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
02/10/2024 12:00:00 AM,18.89,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
02/17/2024 12:00:00 AM,19.09,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
02/24/2024 12:00:00 AM,19.27,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
02/03/2024 12:00:00 AM,14.7,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
02/10/2024 12:00:00 AM,14.94,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
02/17/2024 12:00:00 AM,15.16,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
02/24/2024 12:00:00 AM,15.36,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
02/03/2024 12:00:00 AM,5.29,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
02/10/2024 12:00:00 AM,5.42,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
02/17/2024 12:00:00 AM,5.54,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
02/24/2024 12:00:00 AM,5.64,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
03/02/2024 12:00:00 AM,19.71,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
03/09/2024 12:00:00 AM,19.84,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
03/16/2024 12:00:00 AM,19.96,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
03/23/2024 12:00:00 AM,20.07,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
03/30/2024 12:00:00 AM,20.17,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
03/02/2024 12:00:00 AM,20.57,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
03/09/2024 12:00:00 AM,20.7,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
03/16/2024 12:00:00 AM,20.81,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
03/23/2024 12:00:00 AM,20.92,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
03/30/2024 12:00:00 AM,21.02,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
03/02/2024 12:00:00 AM,10.9,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
03/09/2024 12:00:00 AM,11.04,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
03/16/2024 12:00:00 AM,11.19,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
03/23/2024 12:00:00 AM,11.32,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
03/30/2024 12:00:00 AM,11.43,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
03/02/2024 12:00:00 AM,19.45,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
03/09/2024 12:00:00 AM,19.61,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
03/16/2024 12:00:00 AM,19.76,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
03/23/2024 12:00:00 AM,19.92,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
03/30/2024 12:00:00 AM,20.04,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
03/02/2024 12:00:00 AM,15.57,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
03/09/2024 12:00:00 AM,15.76,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
03/16/2024 12:00:00 AM,15.94,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
03/23/2024 12:00:00 AM,16.11,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
03/30/2024 12:00:00 AM,16.25,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
03/02/2024 12:00:00 AM,5.73,2024,9,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
03/09/2024 12:00:00 AM,5.83,2024,10,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
03/16/2024 12:00:00 AM,5.92,2024,11,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
